,Kernel,C,Gamma,Degree,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,"[167, 143, 99, 371]",0.6865426555484285,0.7131014569526305,0.801662758473673,0.7547919363431722
1,rbf,0.1,1.0,,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
2,poly,0.1,1.0,2.0,"[125, 185, 88, 382]",0.6318922386144964,0.6617398226155897,0.7948411852483479,0.7221539307987292
3,poly,0.1,1.0,3.0,"[84, 226, 101, 369]",0.5589223861449647,0.6164032764697345,0.7071413344702622,0.6586571867024738
4,rbf,0.1,10.0,,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
5,poly,0.1,10.0,2.0,"[83, 227, 157, 313]",0.5287491982039769,0.5951980694138401,0.678064378597314,0.6339170415847241
6,poly,0.1,10.0,3.0,"[98, 212, 130, 340]",0.5617960230917255,0.6188307571261504,0.707866126625453,0.6603416002393738
7,linear,1.0,,,"[167, 143, 100, 370]",0.686696600384862,0.7133775051910904,0.8013643146450649,0.7548134545117826
8,rbf,1.0,1.0,,"[63, 247, 35, 435]",0.6251956382296344,0.6287287240187104,0.921466638243445,0.7474117577618287
9,poly,1.0,1.0,2.0,"[62, 248, 128, 342]",0.5291340602950609,0.5944571371014266,0.6842890641654231,0.6362003055357791
10,poly,1.0,1.0,3.0,"[110, 200, 149, 321]",0.5614624759461193,0.6175289279675423,0.7124706885525474,0.661593656909675
11,rbf,1.0,10.0,,"[3, 307, 4, 466]",0.6030532392559332,0.6056243237017735,0.9759113195480709,0.7474154665295556
12,poly,1.0,10.0,2.0,"[62, 248, 120, 350]",0.5258755612572162,0.5927476586374949,0.677765934768706,0.6323020369438205
13,poly,1.0,10.0,3.0,"[82, 228, 143, 327]",0.5576651699807569,0.6146635910623534,0.7102536772543168,0.6590028223502251
14,linear,10.0,,,"[167, 143, 99, 371]",0.6863887107119948,0.7130707652901007,0.8013216798124068,0.7546219770970494
15,rbf,10.0,1.0,,"[84, 226, 61, 409]",0.6279923027581782,0.6391740143040862,0.8772116819441484,0.7394474973577021
16,poly,10.0,1.0,2.0,"[77, 233, 125, 345]",0.5234381013470173,0.592323085524536,0.6679172884246429,0.6277842961109166
17,poly,10.0,1.0,3.0,"[120, 190, 154, 316]",0.5608210391276459,0.6159090537011147,0.7180558516307823,0.6630128357529931
18,rbf,10.0,10.0,,"[3, 307, 4, 466]",0.6030532392559332,0.6056243237017735,0.9759113195480709,0.7474154665295556
19,poly,10.0,10.0,2.0,"[71, 239, 127, 343]",0.5340602950609366,0.598853747869187,0.6839053506714986,0.6385536980366182
20,poly,10.0,10.0,3.0,"[110, 200, 153, 317]",0.5592559332905709,0.6157416387474683,0.7118738008953315,0.6603238695368938
21,linear,100.0,,,"[165, 145, 102, 368]",0.6835407312379731,0.711687354421714,0.7971008313792367,0.7519619206906134
22,rbf,100.0,1.0,,"[84, 226, 61, 409]",0.6279666452854393,0.6391534861222432,0.8772116819441484,0.7394340163543596
23,poly,100.0,1.0,2.0,"[86, 224, 156, 314]",0.5253880692751763,0.5923632178499434,0.6773822212747815,0.6319928482783915
24,poly,100.0,1.0,3.0,"[93, 217, 165, 305]",0.5598460551635664,0.616847280195583,0.7094862502664677,0.6598342133610389
25,rbf,100.0,10.0,,"[3, 307, 4, 466]",0.6030532392559332,0.6056243237017735,0.9759113195480709,0.7474154665295556
26,poly,100.0,10.0,2.0,"[97, 213, 141, 329]",0.5340859525336754,0.5997847949339403,0.6786186314218716,0.636768782123095
27,poly,100.0,10.0,3.0,"[115, 195, 124, 346]",0.5641051956382297,0.6191669953212898,0.7162225538264761,0.6641511744940667
28,linear,1000.0,,,"[172, 138, 164, 306]",0.6062091084028223,0.6816528136954865,0.6521850351737369,0.6649130599446313
29,rbf,1000.0,1.0,,"[84, 226, 61, 409]",0.6279666452854393,0.6391534861222432,0.8772116819441484,0.7394340163543596
30,poly,1000.0,1.0,2.0,"[83, 227, 181, 289]",0.5250545221295703,0.5924707029068481,0.6749094009806011,0.6309692221446128
31,poly,1000.0,1.0,3.0,"[108, 202, 147, 323]",0.5604361770365619,0.6163219757205864,0.7141760818588787,0.6616408619596347
32,rbf,1000.0,10.0,,"[3, 307, 4, 466]",0.6030532392559332,0.6056243237017735,0.9759113195480709,0.7474154665295556
33,poly,1000.0,10.0,2.0,"[78, 232, 128, 342]",0.5238742783835793,0.59191018045572,0.6719675975271797,0.6293827572828501
34,poly,1000.0,10.0,3.0,"[74, 236, 165, 305]",0.5599486850545221,0.6150275123995235,0.7186527392879982,0.6627671033959709
