,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[132, 178, 64, 406]","[169, 142, 130, 339]","[186, 125, 112, 357]","[192, 119, 112, 357]","[162, 149, 98, 371]","[190, 120, 158, 311]",[1661 1443 1083 3608],[1580 1524  983 3708],[1549 1555  997 3694],[1574 1530 1059 3632],[1393 1711  849 3842]
1,0.0005,"[175, 135, 121, 349]","[131, 180, 95, 374]","[169, 142, 92, 377]","[171, 140, 87, 382]","[134, 177, 68, 401]","[149, 161, 89, 380]",[1573 1531  949 3742],[1525 1579  935 3756],[1666 1438 1054 3637],[1569 1535  970 3721],[1647 1457 1060 3631]
2,0.0008,"[159, 151, 98, 372]","[128, 183, 86, 383]","[174, 137, 96, 373]","[168, 143, 83, 386]","[136, 175, 70, 399]","[110, 200, 57, 412]",[1499 1605  843 3848],[1508 1596  911 3780],[1578 1526  964 3727],[1555 1549  902 3789],[1585 1519  992 3699]
3,0.001,"[150, 160, 85, 385]","[131, 180, 86, 383]","[177, 134, 95, 374]","[166, 145, 79, 390]","[135, 176, 69, 400]","[119, 191, 67, 402]",[1497 1607  834 3857],[1624 1480  985 3706],[1529 1575  914 3777],[1551 1553  872 3819],[1628 1476 1022 3669]
4,0.002,"[150, 160, 89, 381]","[142, 169, 94, 375]","[165, 146, 85, 384]","[118, 193, 56, 413]","[160, 151, 90, 379]","[149, 161, 90, 379]",[1515 1589  874 3817],[1595 1509  947 3744],[1536 1568  899 3792],[1554 1550  892 3799],[1568 1536  934 3757]
5,0.003,"[153, 157, 90, 380]","[143, 168, 93, 376]","[177, 134, 92, 377]","[121, 190, 57, 412]","[151, 160, 82, 387]","[143, 167, 84, 385]",[1508 1596  862 3829],[1549 1555  917 3774],[1548 1556  906 3785],[1607 1497  938 3753],[1552 1552  919 3772]
6,0.004,"[166, 144, 96, 374]","[143, 168, 91, 378]","[168, 143, 90, 379]","[127, 184, 55, 414]","[147, 164, 79, 390]","[142, 168, 81, 388]",[1504 1600  855 3836],[1505 1599  874 3817],[1558 1546  900 3791],[1560 1544  921 3770],[1498 1606  875 3816]
7,0.005,"[164, 146, 96, 374]","[148, 163, 98, 371]","[162, 149, 89, 380]","[129, 182, 56, 413]","[144, 167, 81, 388]","[136, 174, 82, 387]",[1479 1625  847 3844],[1513 1591  882 3809],[1503 1601  873 3818],[1530 1574  912 3779],[1492 1612  890 3801]
8,0.01,"[140, 170, 85, 385]","[128, 183, 84, 385]","[137, 174, 76, 393]","[139, 172, 69, 400]","[134, 177, 78, 391]","[130, 180, 92, 377]",[1341 1763  806 3885],[1353 1751  803 3888],[1381 1723  799 3892],[1366 1738  831 3860],[1332 1772  785 3906]
