,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,50,"[167, 143, 102, 368]",0.6873893521488134,0.7151227343586347,0.7987209550202515,0.7546116358394526
1,rbf,0.1,1.0,,50,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
2,poly,0.1,1.0,2.0,50,"[107, 203, 107, 363]",0.6125465041693394,0.6475880022454656,0.781411212960989,0.7082326528687256
3,poly,0.1,1.0,3.0,50,"[154, 156, 144, 326]",0.6271456061577936,0.6813392427425159,0.7146876998507781,0.6976127125737749
4,rbf,0.1,10.0,,50,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
5,poly,0.1,10.0,2.0,50,"[81, 229, 123, 347]",0.5609749839640795,0.6113662555658659,0.7424429759113196,0.6705504789891246
6,poly,0.1,10.0,3.0,50,"[155, 155, 146, 324]",0.6285054522129571,0.6824725645908694,0.7156683010019186,0.6986710784594312
7,linear,1.0,,,50,"[168, 142, 104, 366]",0.6873380372033355,0.7152165229637649,0.7983372415263269,0.7544925311640766
8,rbf,1.0,1.0,,50,"[2, 308, 7, 463]",0.6036433611289288,0.604879676521018,0.9844382860797272,0.7493340045485846
9,poly,1.0,1.0,2.0,50,"[76, 234, 118, 352]",0.5605131494547786,0.6108182031936042,0.7433809422298017,0.6706034973891917
10,poly,1.0,1.0,3.0,50,"[156, 154, 148, 322]",0.6282745349583065,0.6821156082489849,0.7159667448305265,0.6986286149089086
11,rbf,1.0,10.0,,50,"[0, 310, 1, 469]",0.6013598460551635,0.6020413892974611,0.9958644212321467,0.7504216413249172
12,poly,1.0,10.0,2.0,50,"[77, 233, 125, 345]",0.5598717126363053,0.6104379716387118,0.7425282455766361,0.6700202844484036
13,poly,1.0,10.0,3.0,50,"[154, 156, 146, 324]",0.6279923027581783,0.6822980913411694,0.7145597953528033,0.6980537266109168
14,linear,10.0,,,50,"[166, 144, 103, 367]",0.6873123797305964,0.7150742116414118,0.798635685354935,0.7545460752999917
15,rbf,10.0,1.0,,50,"[4, 306, 10, 460]",0.6036690186016678,0.605343329789116,0.9809848646344064,0.748685654402693
16,poly,10.0,1.0,2.0,50,"[78, 232, 118, 352]",0.5608466966003849,0.6108588237557655,0.7446173523768919,0.6711218391900164
17,poly,10.0,1.0,3.0,50,"[156, 154, 150, 320]",0.6284541372674791,0.6825934327259471,0.7151566830100191,0.6984924723666358
18,rbf,10.0,10.0,,50,"[0, 310, 1, 469]",0.6013598460551635,0.6020413892974611,0.9958644212321467,0.7504216413249172
19,poly,10.0,10.0,2.0,50,"[77, 233, 122, 348]",0.5578960872354074,0.6093000900954516,0.7396290769558729,0.6681601826323522
20,poly,10.0,10.0,3.0,50,"[153, 157, 145, 325]",0.6283771648492623,0.682345013858318,0.7156256661692603,0.6985849631592881
21,linear,100.0,,,50,"[163, 147, 101, 369]",0.6849262347658756,0.7151287151729026,0.7919420166275847,0.7515649061614609
22,rbf,100.0,1.0,,50,"[4, 306, 10, 460]",0.6036690186016678,0.605343329789116,0.9809848646344064,0.748685654402693
23,poly,100.0,1.0,2.0,50,"[81, 229, 116, 354]",0.5605131494547787,0.6109167111570393,0.7427840545725858,0.6704165123273771
24,poly,100.0,1.0,3.0,50,"[153, 157, 144, 326]",0.6274278383579217,0.6815257166704928,0.7150287785120444,0.6978727455503894
25,rbf,100.0,10.0,,50,"[0, 310, 1, 469]",0.6013598460551635,0.6020413892974611,0.9958644212321467,0.7504216413249172
26,poly,100.0,10.0,2.0,50,"[76, 234, 120, 350]",0.5582039769082746,0.6094942896718253,0.7400554252824558,0.6684475059801783
27,poly,100.0,10.0,3.0,50,"[156, 154, 146, 324]",0.6283771648492624,0.6822625885832767,0.7158388403325516,0.6986424111283505
28,linear,1000.0,,,50,"[170, 140, 106, 364]",0.6781783194355355,0.7160821053821069,0.7709230441270518,0.7424703506980045
29,rbf,1000.0,1.0,,50,"[4, 306, 10, 460]",0.6036690186016678,0.605343329789116,0.9809848646344064,0.748685654402693
30,poly,1000.0,1.0,2.0,50,"[78, 232, 122, 348]",0.5575881975625401,0.6088282228929494,0.7408654871029631,0.6683759563778368
31,poly,1000.0,1.0,3.0,50,"[151, 159, 147, 323]",0.6293521488133419,0.6832854525312294,0.7159667448305265,0.6992376513114233
32,rbf,1000.0,10.0,,50,"[0, 310, 1, 469]",0.6013598460551635,0.6020413892974611,0.9958644212321467,0.7504216413249172
33,poly,1000.0,10.0,2.0,50,"[78, 232, 119, 351]",0.5600769724182169,0.6106677592445979,0.7421445320827116,0.6700097647939599
34,poly,1000.0,10.0,3.0,50,"[158, 152, 148, 322]",0.6268890314304041,0.6792076912227882,0.7201449584310382,0.6990724535886156
