,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,50,"[166, 144, 99, 371]",0.6860808210391276,0.7130351199199699,0.8005542528245575,0.754263382109748
1,rbf,0.1,1.0,,50,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
2,poly,0.1,1.0,2.0,50,"[133, 177, 89, 381]",0.6529570237331623,0.67996120021247,0.7997868258367086,0.7350123730414084
3,poly,0.1,1.0,3.0,50,"[117, 193, 118, 352]",0.5987171263630533,0.646146730749595,0.7366020038371349,0.6884082227821441
4,rbf,0.1,10.0,,50,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
5,poly,0.1,10.0,2.0,50,"[59, 251, 123, 347]",0.536651699807569,0.594465787796271,0.7238541888723087,0.6528033322047565
6,poly,0.1,10.0,3.0,50,"[112, 198, 120, 350]",0.5981013470173188,0.6456089811037687,0.7364740993391601,0.6880476608505772
7,linear,1.0,,,50,"[166, 144, 98, 372]",0.6857472738935215,0.7128456072359175,0.8001279044979748,0.753967587195149
8,rbf,1.0,1.0,,50,"[56, 254, 35, 435]",0.621757536882617,0.6265058510341975,0.9202302280963547,0.7454252962944274
9,poly,1.0,1.0,2.0,50,"[62, 248, 109, 361]",0.5371391917896087,0.5939460801573306,0.7297804306118099,0.6548908299752044
10,poly,1.0,1.0,3.0,50,"[118, 192, 116, 354]",0.5992559332905709,0.6464996815533962,0.7371988914943509,0.688867184427746
11,rbf,1.0,10.0,,50,"[3, 307, 4, 466]",0.603155869146889,0.6056442296107696,0.976252398209337,0.7475305419547473
12,poly,1.0,10.0,2.0,50,"[61, 249, 116, 354]",0.5399871712636305,0.5970830799050777,0.724493711362183,0.6546387673330678
13,poly,1.0,10.0,3.0,50,"[111, 199, 116, 354]",0.599615137908916,0.6466506013327986,0.7379663184822,0.6892889627673908
14,linear,10.0,,,50,"[166, 144, 99, 371]",0.6856703014753046,0.7128771537313998,0.7998294606693669,0.7538531088264928
15,rbf,10.0,1.0,,50,"[73, 237, 50, 420]",0.623784477228993,0.6321287540656233,0.8970795139629077,0.7415875912140921
16,poly,10.0,1.0,2.0,50,"[63, 247, 110, 360]",0.5377806286080821,0.5957028634732445,0.721807716904711,0.6527183455984991
17,poly,10.0,1.0,3.0,50,"[108, 202, 120, 350]",0.5975368826170623,0.6453205396452122,0.7354934981880196,0.6874517367112589
18,rbf,10.0,10.0,,50,"[3, 307, 4, 466]",0.603155869146889,0.6056442296107696,0.976252398209337,0.7475305419547473
19,poly,10.0,10.0,2.0,50,"[65, 245, 120, 350]",0.5371391917896088,0.5955293757773641,0.7195907056064804,0.651707314796371
20,poly,10.0,10.0,3.0,50,"[112, 198, 118, 352]",0.5991276459268763,0.646172855976282,0.7380515881475165,0.6890508353581994
21,linear,100.0,,,50,"[171, 139, 105, 365]",0.685157152020526,0.7144256679068832,0.7943722020891069,0.7522719926891894
22,rbf,100.0,1.0,,50,"[73, 237, 50, 420]",0.623784477228993,0.6321287540656233,0.8970795139629077,0.7415875912140921
23,poly,100.0,1.0,2.0,50,"[65, 245, 118, 352]",0.5372674791533034,0.5951120625222825,0.7229162225538264,0.6528145678178319
24,poly,100.0,1.0,3.0,50,"[113, 197, 119, 351]",0.5985375240538807,0.6459723505333292,0.7366446386697934,0.6883242195991438
25,rbf,100.0,10.0,,50,"[3, 307, 4, 466]",0.603155869146889,0.6056442296107696,0.976252398209337,0.7475305419547473
26,poly,100.0,10.0,2.0,50,"[70, 240, 126, 344]",0.5359846055163566,0.5944741510406735,0.7203581325943296,0.6513875107148113
27,poly,100.0,10.0,3.0,50,"[116, 194, 115, 355]",0.598434894162925,0.6453571058216759,0.7386911106373908,0.6888623368585414
28,linear,1000.0,,,50,"[189, 121, 137, 333]",0.6770237331622835,0.7144380596992932,0.771988914943509,0.7420368788771301
29,rbf,1000.0,1.0,,50,"[73, 237, 50, 420]",0.623784477228993,0.6321287540656233,0.8970795139629077,0.7415875912140921
30,poly,1000.0,1.0,2.0,50,"[66, 244, 117, 353]",0.5374727389352149,0.5951422743213897,0.7237262843743338,0.6531589529896794
31,poly,1000.0,1.0,3.0,50,"[115, 195, 121, 349]",0.5970493906350225,0.6446152897561811,0.7364740993391601,0.6874818051152359
32,rbf,1000.0,10.0,,50,"[3, 307, 4, 466]",0.603155869146889,0.6056442296107696,0.976252398209337,0.7475305419547473
33,poly,1000.0,10.0,2.0,50,"[63, 247, 106, 364]",0.5351379089159718,0.5937504978683903,0.7204860370923043,0.6509996722073059
34,poly,1000.0,10.0,3.0,50,"[117, 193, 114, 356]",0.5955612572161642,0.6414500869524076,0.7439351950543593,0.6888596322858265
