,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[82, 228, 40, 430]","[78, 233, 47, 422]","[87, 224, 41, 428]","[63, 248, 32, 437]","[87, 224, 32, 437]","[85, 225, 44, 425]",[ 835 2269  417 4274],[ 823 2281  432 4259],[ 836 2268  419 4272],[ 851 2253  417 4274],[ 835 2269  417 4274]
1,1,"[50, 100, 150]",100,"[82, 228, 40, 430]","[78, 233, 48, 421]","[89, 222, 41, 428]","[64, 247, 32, 437]","[87, 224, 32, 437]","[83, 227, 43, 426]",[ 850 2254  428 4263],[ 842 2262  442 4249],[ 836 2268  421 4270],[ 850 2254  423 4268],[ 845 2259  425 4266]
2,1,"[50, 100, 150]",150,"[84, 226, 40, 430]","[78, 233, 48, 421]","[87, 224, 41, 428]","[64, 247, 32, 437]","[89, 222, 33, 436]","[83, 227, 43, 426]",[ 854 2250  432 4259],[ 850 2254  443 4248],[ 840 2264  422 4269],[ 862 2242  432 4259],[ 852 2252  427 4264]
3,1,"[50, 100, 150]",50,"[143, 167, 77, 393]","[123, 188, 72, 397]","[138, 173, 74, 395]","[115, 196, 57, 412]","[138, 173, 66, 403]","[132, 178, 72, 397]",[1327 1777  726 3965],[1329 1775  730 3961],[1308 1796  732 3959],[1311 1793  747 3944],[1321 1783  720 3971]
4,1,"[50, 100, 150]",100,"[143, 167, 79, 391]","[121, 190, 73, 396]","[139, 172, 74, 395]","[110, 201, 57, 412]","[144, 167, 69, 400]","[135, 175, 73, 396]",[1335 1769  735 3956],[1327 1777  732 3959],[1312 1792  736 3955],[1321 1783  744 3947],[1320 1784  719 3972]
5,1,"[50, 100, 150]",150,"[143, 167, 78, 392]","[122, 189, 73, 396]","[138, 173, 74, 395]","[111, 200, 58, 411]","[144, 167, 69, 400]","[135, 175, 73, 396]",[1338 1766  736 3955],[1329 1775  732 3959],[1309 1795  733 3958],[1330 1774  749 3942],[1318 1786  722 3969]
6,1,"[50, 100, 150]",50,"[150, 160, 90, 380]","[131, 180, 81, 388]","[151, 160, 84, 385]","[125, 186, 63, 406]","[148, 163, 81, 388]","[141, 169, 76, 393]",[1425 1679  815 3876],[1426 1678  810 3881],[1421 1683  807 3884],[1426 1678  811 3880],[1439 1665  813 3878]
7,1,"[50, 100, 150]",100,"[151, 159, 91, 379]","[132, 179, 84, 385]","[152, 159, 85, 384]","[126, 185, 61, 408]","[147, 164, 80, 389]","[141, 169, 76, 393]",[1428 1676  817 3874],[1421 1683  818 3873],[1420 1684  804 3887],[1435 1669  811 3880],[1438 1666  810 3881]
8,1,"[50, 100, 150]",150,"[151, 159, 91, 379]","[132, 179, 84, 385]","[152, 159, 84, 385]","[127, 184, 62, 407]","[147, 164, 79, 390]","[141, 169, 77, 392]",[1432 1672  818 3873],[1428 1676  816 3875],[1417 1687  802 3889],[1437 1667  817 3874],[1434 1670  806 3885]
9,2,"[50, 100, 150]",50,"[156, 154, 93, 377]","[142, 169, 79, 390]","[156, 155, 86, 383]","[138, 173, 69, 400]","[158, 153, 85, 384]","[146, 164, 79, 390]",[1495 1609  847 3844],[1488 1616  852 3839],[1484 1620  842 3849],[1491 1613  840 3851],[1496 1608  848 3843]
