,Kernel,C,Gamma,Degree,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,"[161, 149, 108, 362]",0.6901090442591405,0.7184786876988601,0.797569814538478,0.7559601694712516
1,rbf,0.1,1.0,,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
2,poly,0.1,1.0,2.0,"[109, 201, 137, 333]",0.5626427196921104,0.6228426969993789,0.6925175868684715,0.6557897186509969
3,poly,0.1,1.0,3.0,"[161, 149, 143, 327]",0.6164977549711355,0.6761249827434552,0.6962694521424003,0.6860461303152048
4,rbf,0.1,10.0,,"[0, 310, 0, 470]",0.6017960230917254,0.6017960230917254,1.0,0.7514015697581291
5,poly,0.1,10.0,2.0,"[130, 180, 140, 330]",0.5642591404746632,0.6252633786771209,0.6888936260925176,0.6555025321681012
6,poly,0.1,10.0,3.0,"[161, 149, 143, 327]",0.6177806286080821,0.6772279858477278,0.697122148795566,0.687030566824506
7,linear,1.0,,,"[163, 147, 108, 362]",0.6899550994227068,0.71853198412308,0.7970155617139203,0.7557406007851001
8,rbf,1.0,1.0,,"[0, 310, 1, 469]",0.6005131494547787,0.6013887335317053,0.9970155617139204,0.7502406224124784
9,poly,1.0,1.0,2.0,"[130, 180, 140, 330]",0.5634124438742784,0.6246289456039138,0.6878703901087188,0.6547034060563932
10,poly,1.0,1.0,3.0,"[161, 149, 143, 327]",0.6176010262989096,0.6772802655664288,0.6964399914730335,0.6867218911233895
11,rbf,1.0,10.0,,"[0, 310, 0, 470]",0.6012315586914688,0.6015711094715294,0.9990620336815178,0.750961397244869
12,poly,1.0,10.0,2.0,"[125, 185, 128, 342]",0.5593072482360488,0.6210625699046199,0.6867618844596034,0.6522546535552511
13,poly,1.0,10.0,3.0,"[161, 149, 143, 327]",0.6187042976266838,0.6778006037366057,0.6984011937753145,0.6879457383708527
14,linear,10.0,,,"[162, 148, 108, 362]",0.6900320718409236,0.7186141842738253,0.7970155617139202,0.7557861561581021
15,rbf,10.0,1.0,,"[0, 310, 1, 469]",0.6003335471456062,0.6013221799359005,0.996674483052654,0.7500922621823708
16,poly,10.0,1.0,2.0,"[130, 180, 134, 336]",0.5705195638229634,0.630350325878348,0.6923470475378384,0.6598893736258663
17,poly,10.0,1.0,3.0,"[161, 149, 143, 327]",0.6153944836433612,0.6754861779738299,0.6946066936687273,0.6849087903347506
18,rbf,10.0,10.0,,"[0, 310, 0, 470]",0.6012315586914688,0.6015711094715294,0.9990620336815178,0.750961397244869
19,poly,10.0,10.0,2.0,"[130, 180, 140, 330]",0.5638742783835793,0.6242934530719951,0.6914943508846728,0.6561563694870698
20,poly,10.0,10.0,3.0,"[161, 149, 143, 327]",0.6184990378447723,0.6776658954553357,0.6981453847793647,0.6877523414269788
21,linear,100.0,,,"[182, 128, 169, 301]",0.6714817190506734,0.7078613093362713,0.7739501172457899,0.7391349892183131
22,rbf,100.0,1.0,,"[0, 310, 1, 469]",0.6003335471456062,0.6013221799359005,0.996674483052654,0.7500922621823708
23,poly,100.0,1.0,2.0,"[130, 180, 134, 336]",0.5681077613855036,0.6279324019762749,0.6928160306970795,0.6587500346083136
24,poly,100.0,1.0,3.0,"[161, 149, 143, 327]",0.6167799871712637,0.6767480421562604,0.6953741206565764,0.6859314552193216
25,rbf,100.0,10.0,,"[0, 310, 0, 470]",0.6012315586914688,0.6015711094715294,0.9990620336815178,0.750961397244869
26,poly,100.0,10.0,2.0,"[130, 180, 140, 330]",0.5636177036561898,0.6243842342252447,0.6898742272436581,0.6554893317265896
27,poly,100.0,10.0,3.0,"[161, 149, 143, 327]",0.6170622193713919,0.6758037079239527,0.6989980814325304,0.6872002410227506
28,linear,1000.0,,,"[122, 188, 131, 339]",0.6080564464400255,0.6777934989652188,0.6682157322532509,0.670953742309335
29,rbf,1000.0,1.0,,"[0, 310, 1, 469]",0.6003335471456062,0.6013221799359005,0.996674483052654,0.7500922621823708
30,poly,1000.0,1.0,2.0,"[125, 185, 128, 342]",0.5664143681847339,0.6264743088585325,0.6923044127051801,0.6577346138904783
31,poly,1000.0,1.0,3.0,"[161, 149, 143, 327]",0.6175753688261707,0.6767753371107605,0.6978469409507567,0.6871413375236657
32,rbf,1000.0,10.0,,"[0, 310, 0, 470]",0.6012315586914688,0.6015711094715294,0.9990620336815178,0.750961397244869
33,poly,1000.0,10.0,2.0,"[125, 185, 128, 342]",0.5621295702373317,0.6234278088415419,0.6878277552760605,0.6540261216521662
34,poly,1000.0,10.0,3.0,"[161, 149, 143, 327]",0.5908402822322001,0.6507273210572706,0.6909827328927733,0.6702379287108418
