Feature,Response,Anemia(+),Anemia(-),Total,,,,Total
PopulationSize,,,,,,,,
AnnualPrecipitation,,,,,,,,
DiurnalSurfaceTemperature,,,,,,,,
DiurnalTemperatureRange,,,,,,,,
VegetationIndex,,,,,,,,
HumanFootprint,,,,,,,,
GrossCellProduction,,,,,,,,
GrowthSeasonLength,,,,,,,,
Irrigation,,,,,,,,
ITNCoverage,,,,,,,,
LandSurfaceTemperature,,,,,,,,
MalariaPrevalence,,,,,,,,
MeanTemperature,,,,,,,,
NightlightsComposite,,,,,,,,
ProximityToWater,,,,,,,,
Residence,Rural,2998(30.7%),6782(69.3%),9780(67.5%),2998,6782,9780,14489
,Urban,931(19.8%),3778(80.2%),4709(32.5%),931,3778,4709,14489
Toilet,Improved,844(21.8%),3035(78.2%),3879(26.8%),844,3035,3879,14489
,UnImproved,3085(29.1%),7525(70.9%),10610(73.2%),3085,7525,10610,14489
HIV,Positive,90(32.4%),188(67.6%),278(1.9%),90,188,278,14489
,Negative/Unknown,3839(27%),10372(73%),14211(98.1%),3839,10372,14211,14489
HouseholdAmeities,Yes,2306(33.4%),4588(66.6%),6894(47.6%),2306,4588,6894,14489
,No,1623(21.4%),5972(78.6%),7595(52.4%),1623,5972,7595,14489
Transportation,Yes,235(21.1%),878(78.9%),1113(7.7%),235,878,1113,14489
,No,3694(27.6%),9682(72.4%),13376(92.3%),3694,9682,13376,14489
FloorType,Dirt,3024(30.2%),6993(69.8%),10017(69.1%),3024,6993,10017,14489
,Built,905(20.2%),3567(79.8%),4472(30.9%),905,3567,4472,14489
HouseholdHead,Female,1191(27.1%),3208(72.9%),4399(30.4%),1191,3208,4399,14489
,Male,2738(27.1%),7352(72.9%),10090(69.6%),2738,7352,10090,14489
Breastfeeding,Yes,1306(32.3%),2734(67.7%),4040(27.9%),1306,2734,4040,14489
,No,2623(25.1%),7826(74.9%),10449(72.1%),2623,7826,10449,14489
Region,Tigray,331(20.7%),1268(79.3%),1599(11%),331,1268,1599,14489
,Afar,477(45.9%),562(54.1%),1039(7.2%),477,562,1039,14489
,Amhara,297(17.6%),1391(82.4%),1039(7.2%),477,562,1039,14489
,Oromia,482(26.7%),1320(73.3%),1802(12.4%),482,1320,1802,14489
,Somali,737(58.4%),525(41.6%),1262(8.7%),737,525,1262,14489
,Benishangul,202(19.5%),836(80.5%),1038(7.2%),202,836,1038,14489
,SNNPR,379(21.5%),1381(78.5%),1760(12.1%),379,1381,1760,14489
,Gambela,276(28%),709(72%),985(6.8%),276,709,985,14489
,Harari,204(27.2%),546(72.8%),750(5.2%),204,546,750,14489
,AddisAdaba,256(15.9%),1357(84.1%),1613(11.1%),256,1357,1613,14489
,Dire Wara,288(30.2%),665(69.8%),953(6.6%),288,665,953,14489
MaternalEducation,Primary,1141(23.5%),3721(76.5%),4862(33.6%),1141,3721,4862,14489
,Secondary,388(19.4%),1615(80.6%),2003(13.8%),388,1615,2003,14489
,Highschool+,156(15.2%),872(84.8%),1028(7.1%),156,872,1028,14489
,None,2244(34%),4352(66%),6596(45.5%),2244,4352,6596,14489
MaternalOccupation,Agriculture,646(25.6%),1875(74.4%),2521(17.4%),646,1875,2521,14489
,NotWorking,2337(31.4%),5117(68.6%),7454(51.4%),2337,5117,7454,14489
,Others,946(21%),3568(79%),4514(31.2%),946,3568,4514,14489
PaternalOccupation,Agriculture,1456(31.1%),3220(68.9%),4676(32.3%),1456,3220,4676,14489
,NotWorking,365(39.4%),562(60.6%),927(6.4%),365,562,927,14489
,Others,2108(23.7%),6778(76.3%),8886(61.3%),2108,6778,8886,14489
Watersource,Piped,729(18.9%),3135(81.1%),3864(26.7%),729,3135,3864,14489
,Improved,1688(28.1%),4312(71.9%),6000(41.4%),1688,4312,6000,14489
,UnImproved,1512(32.7%),3113(67.3%),4625(31.9%),1512,3113,4625,14489
TravelTimeToWater,<30min,1727(29%),4237(71%),5964(41.2%),1727,4237,5964,14489
,>30min,1314(33.1%),2651(66.9%),3965(27.4%),1314,2651,3965,14489
,On premise,888(19.5%),3672(80.5%),4560(31.5%),888,3672,4560,14489
Religion,Orthodox,1056(17.7%),4904(82.3%),5960(41.1%),1056,4904,5960,14489
,Protestant,674(25.2%),1996(74.8%),2670(18.4%),674,1996,2670,14489
